full_text,case_folding CPMK2,preprocessing CPMK3,label
sama seperti masalahku kemarin fish juga padahal aku lagi sama temenku kebetulan temenku lagi afk fisherman jadi pas lgsg join gamenya lgsng ketemu avatarnya amp tidak jawab chat public aku tbtb dikatain kocak banget kalau emang lagi stres gkdapet secret jgn lampiasin orng,sama seperti masalahku kemarin fish juga padahal aku lagi sama temenku kebetulan temenku lagi afk fisherman jadi pas lgsg join gamenya lgsng ketemu avatarnya amp tidak jawab chat public aku tbtb dikatain kocak banget kalau emang lagi stres gkdapet secret jgn lampiasin orng,masalah kemarin teman aku teman aku away from keyboard fisherman lgsg join gamenya lgsng ketemu avatarnya chat public tbtb dikatain kocak stres gkdapet secret lampiasin orng,negative
sebenernya lebih suka gameplay fisch tapi mapnya berat dan gelap banget anjing kalau fish itu cerah colorful cakep sudah mata gue tapi sistem random nya tidak masuk akun busuk gue talon kikir,sebenernya lebih suka gameplay fisch tapi mapnya berat dan gelap banget anjing kalau fish itu cerah colorful cakep sudah mata gue tapi sistem random nya tidak masuk akun busuk gue talon kikir,sebenernya suka gameplay fisch map berat gelap cerah colorful cakep mata sistem random masuk akun busuk talon kikir,neutral
balik fish karena update jungle ini keliatan seru tapi misinya harus selesein misi yang lost isle anjing capek gweh,balik fish karena update jungle ini keliatan seru tapi misinya harus selesein misi yang lost isle anjing capek gweh,update jungle liat seru misi selesein misi lost isle capek gweh,negative
kalau dari gue sendiri gue ngerasa ganggu bagaimana biar tidak kependem aja kita atau org lain pada dapet apa kan main fish tidak selalu liat layar kadang juga tas gamau kebuka makanya liat chat publik tapi buat ngatain org gue tidak sampai gitu anjing gue cuma bilang stop yapping bisa,kalau dari gue sendiri gue ngerasa ganggu bagaimana biar tidak kependem aja kita atau org lain pada dapet apa kan main fish tidak selalu liat layar kadang juga tas gamau kebuka makanya liat chat publik tapi buat ngatain org gue tidak sampai gitu anjing gue cuma bilang stop yapping bisa,ngerasa ganggu kependem orang main lihat layar kadang tas buka lihat chat publik ngatain orang bilang stop yapping,neutral
emosi iri dengki gue makin meningkat main fish,emosi iri dengki gue makin meningkat main fish,emosi iri dengki tingkat main,negative
bangun tidur malah buka twt yang isinya orang main fish pada beruntung when when ini game emg bikin orang iri dengki ajee,bangun tidur malah buka twt yang isinya orang main fish pada beruntung when when ini game emg bikin orang iri dengki ajee,bangun tidur buka twt isi orang main untung when when game orang iri dengki ajee,negative
asdfghjjislove map mancing seperti begini yang rame ada dua kakk fish sama fisch kalau fish ini masih bisa afk karna dia ada fitur auto mancingnyaa yang susah mancingnya yang fisch,asdfghjjislove map mancing seperti begini yang rame ada dua kakk fish sama fisch kalau fish ini masih bisa afk karna dia ada fitur auto mancingnyaa yang susah mancingnya yang fisch,asdfghjjislove map pancing ramai fisch away from keyboard fitur auto mancingnyaa susah mancingnya fisch,neutral
yaallah aing cari apa sih fish tapi pengen mancing tapi anjing ipad aing nyala terus,yaallah aing cari apa sih fish tapi pengen mancing tapi anjing ipad aing nyala terus,yaallah aing cari ken pancing ipad aing nyala,negative
asdfghjjislove kak lebih baik jangan masuk fish dari pada psikis nya kena,asdfghjjislove kak lebih baik jangan masuk fish dari pada psikis nya kena,asdfghjjislove masuk psikis,negative
lah banyak anjing main fish kantor lagi kerja konyoll gaje musnah tolong org org fish seperti begini,lah banyak anjing main fish kantor lagi kerja konyoll gaje musnah tolong org org fish seperti begini,main kantor kerja konyoll gaje musnah orang orang,negative
kapan gue tamat secret gue sudah ditahap gila fish anjing mau nangis,kapan gue tamat secret gue sudah ditahap gila fish anjing mau nangis,tamat secret tahap gila nang,negative
mic fish susah suaranya ketutupan sama sound asli fish lagian itu chat publik bebas untuk siapa aja nggak perlu lah sampai ngata-ngatain nambahin dosa diri sendiri aja gas aja sender tetap gunain chat publik kamu itu,mic fish susah suaranya ketutupan sama sound asli fish lagian itu chat publik bebas untuk siapa aja nggak perlu lah sampai ngata-ngatain nambahin dosa diri sendiri aja gas aja sender tetap gunain chat publik kamu itu,mic susah suara tutup sound asli chat publik bebas ngata ngatain tambah dosa gas gunain chat publik,positive
chengxiaoshe dari kemaren dia ngedumelin fish mulu anjing tiap dosen lagi ngomong bacot bet bangsat tidak ada yang peduli sama mancing kamu alat kelamin,chengxiaoshe dari kemaren dia ngedumelin fish mulu anjing tiap dosen lagi ngomong bacot bet bangsat tidak ada yang peduli sama mancing kamu alat kelamin,chengxiaoshe kemaren ngedumelin dosen ngomong bacot bet bangsat peduli pancing alat kelamin,negative
nggak tertawa tapi kalau dia lagi main maps mana gitu aku bakal ikut join aja kenal nggak kenal soalnya rata-rata yang connect sama aku tuh buat ningkatin friend luck fish sama prospecting doang,nggak tertawa tapi kalau dia lagi main maps mana gitu aku bakal ikut join aja kenal nggak kenal soalnya rata-rata yang connect sama aku tuh buat ningkatin friend luck fish sama prospecting doang,tawa main maps join kenal kenal connect ningkatin friend luck prospecting,positive
uukazai haii aku suka main fish sama kalau kamu,uukazai haii aku suka main fish sama kalau kamu,uukazai hai suka main,positive
qmiaws siapa yang ngajak kamu seng mumpung baru hari mending kabur sekarang sebelum kamu ikutan kena penyakit fish gila,qmiaws siapa yang ngajak kamu seng mumpung baru hari mending kabur sekarang sebelum kamu ikutan kena penyakit fish gila,qmiaws ngajak seng mumpung kabur ikut sakit gila,negative
biasanya kalau sudah sampai kantor buka langsung afk fish ini tidak sama sekali soalnya muak banget capek dan bikin burnout,biasanya kalau sudah sampai kantor buka langsung afk fish ini tidak sama sekali soalnya muak banget capek dan bikin burnout,kantor buka langsung away from keyboard muak capek burnout,negative
maen fish sampai kebawa mimpi anjing,maen fish sampai kebawa mimpi anjing,main bawa mimpi,negative
ini siapa yang ngajakin aku main fish sih anjing,ini siapa yang ngajakin aku main fish sih anjing,ngajakin main,negative
mau afk fish bagaimana anjing selain pake red finger,mau afk fish bagaimana anjing selain pake red finger,away from keyboard pakai red finger,negative
the real manusia sabarnya seluas samudra samudra fish maksudnya,the real manusia sabarnya seluas samudra samudra fish maksudnya,the real manusia sabar luas samudra samudra maksud,positive
xaezzsha aku dari fish pindah gag,xaezzsha aku dari fish pindah gag,xaezzsha pindah,negative
sudah feeling anjing makanya mending mancing fish,sudah feeling anjing makanya mending mancing fish,feeling pancing,positive
cara agar ngantuk bermain fish akan kuterapkan tar malem biar bisa cepet tidur,cara agar ngantuk bermain fish akan kuterapkan tar malem biar bisa cepet tidur,ngantuk main terap tar malem cepet tidur,positive
nnykk talon kikir aku sudah muak banget join fish hanya isle,nnykk talon kikir aku sudah muak banget join fish hanya isle,nnykk talon kikir muak join isle,negative
gawat sender mulai ketagihan main fish awalnya gamau soalnya seperti apasih cuma mancing doang tapi woi ternyata ini bukan sekadar mancing roblox,gawat sender mulai ketagihan main fish awalnya gamau soalnya seperti apasih cuma mancing doang tapi woi ternyata ini bukan sekadar mancing roblox,gawat tagih main apasih pancing woi pancing roblox,neutral
mioze skem banget luck-luck begini tuh kaya tidak ada bedanya dan tetep aja ampas aku suda lost spark sama fish sedih,mioze skem banget luck-luck begini tuh kaya tidak ada bedanya dan tetep aja ampas aku suda lost spark sama fish sedih,mioze skem luck luck kaya beda tetep ampas suda lost spark sedih,negative
bye fish mnyet,bye fish mnyet,bye mnyet,negative
roblox tepat hari ini sender sebulan main fish dan belum lolos misi gospin caught sudah 200k kena kutukan 1/2.50m sudah muak dan capek banget tapi masih penasaran,roblox tepat hari ini sender sebulan main fish dan belum lolos misi gospin caught sudah 200k kena kutukan 1/2.50m sudah muak dan capek banget tapi masih penasaran,roblox bulan main lolos misi gospin caught kutu muak capek penasaran,negative
chaehyuna pernah kemaren ketemu player fish posesif banget kocak aku mancing rame-rame sama temenku dia drama banget yaudah gapapa kamu sudah bahagia sama yang lain seperti dihh,chaehyuna pernah kemaren ketemu player fish posesif banget kocak aku mancing rame-rame sama temenku dia drama banget yaudah gapapa kamu sudah bahagia sama yang lain seperti dihh,chaehyuna kemaren ketemu player posesif kocak pancing ramai ramai teman aku drama yaudah gapapa bahagia dihh,positive
gue jadi percaya chatgpt deh soal fish,gue jadi percaya chatgpt deh soal fish,percaya chatgpt,positive
